{'regions': [4.28, 4.16], 'path-length': [30.02, 30.14], 'path-imp': [13.46, 13.58], 'path-change': [8.42, 5.16], 'iterations': [186.82, 186.82], 'changes': [47.92, 29.38], 'steps': [186.82, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.02, 33.06]}
{'regions': [4.66, 4.52], 'path-length': [31.96, 32.08], 'path-imp': [16.96, 17.08], 'path-change': [12.12, 4.96], 'iterations': [170.24, 170.24], 'changes': [47.86, 28.6], 'steps': [170.24, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.72, 30.86]}
{'regions': [3.02, 2.98], 'path-length': [33.16, 33.24], 'path-imp': [14.26, 14.34], 'path-change': [13.44, 0.9], 'iterations': [260.42, 260.42], 'changes': [49.74, 27.88], 'steps': [260.42, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.74, 26.6]}
{'regions': [4.36, 4.3], 'path-length': [31.74, 32.06], 'path-imp': [16.76, 17.08], 'path-change': [12.1, 4.98], 'iterations': [277.92, 277.92], 'changes': [47.48, 29.22], 'steps': [277.92, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [32.7, 31.28]}
{'regions': [4.2, 4.1], 'path-length': [30.4, 30.48], 'path-imp': [13.22, 13.3], 'path-change': [9.86, 3.44], 'iterations': [477.68, 477.68], 'changes': [48.0, 29.68], 'steps': [477.68, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.26, 29.64]}
{'regions': [3.96, 3.9], 'path-length': [30.54, 30.76], 'path-imp': [13.94, 14.16], 'path-change': [9.6, 4.56], 'iterations': [637.62, 637.62], 'changes': [46.76, 31.24], 'steps': [637.62, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.4, 33.46]}
{'regions': [4.74, 4.68], 'path-length': [29.96, 29.96], 'path-imp': [13.96, 13.96], 'path-change': [10.18, 3.78], 'iterations': [1012.28, 1012.28], 'changes': [50.32, 27.42], 'steps': [1012.28, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [20.28, 20.48]}
{'regions': [4.62, 4.52], 'path-length': [29.06, 29.1], 'path-imp': [13.02, 13.06], 'path-change': [8.64, 4.42], 'iterations': [820.04, 820.04], 'changes': [46.3, 30.72], 'steps': [820.04, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [27.24, 33.42]}
{'regions': [5.36, 5.16], 'path-length': [26.38, 26.48], 'path-imp': [11.2, 11.3], 'path-change': [7.32, 3.98], 'iterations': [404.12, 404.12], 'changes': [44.52, 33.04], 'steps': [404.12, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [22.32, 28.08]}
{'regions': [3.86, 3.78], 'path-length': [30.3, 30.32], 'path-imp': [13.46, 13.48], 'path-change': [10.84, 2.64], 'iterations': [575.96, 575.96], 'changes': [48.74, 28.48], 'steps': [575.96, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.84, 28.64]}
{'regions': [5.38, 5.32], 'path-length': [28.8, 29.06], 'path-imp': [13.44, 13.7], 'path-change': [8.86, 4.84], 'iterations': [427.94, 427.94], 'changes': [45.62, 31.36], 'steps': [427.94, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.06, 28.44]}
{'regions': [3.48, 3.44], 'path-length': [30.42, 30.7], 'path-imp': [13.54, 13.82], 'path-change': [8.88, 4.94], 'iterations': [626.46, 626.46], 'changes': [45.14, 31.82], 'steps': [626.46, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [26.18, 39.44]}
{'regions': [4.52, 4.42], 'path-length': [27.52, 28.18], 'path-imp': [13.42, 14.08], 'path-change': [8.64, 5.44], 'iterations': [619.48, 619.48], 'changes': [42.24, 34.86], 'steps': [619.48, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.64, 35.34]}
{'regions': [5.62, 5.44], 'path-length': [28.5, 28.88], 'path-imp': [12.68, 13.06], 'path-change': [9.16, 3.9], 'iterations': [437.98, 437.98], 'changes': [44.04, 32.36], 'steps': [437.98, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [24.66, 25.5]}
